time,date,hour,precip [mm/day],sub7064 [m3/s],sub7064 (observed) [m3/s],sub7068 [m3/s],sub7070 [m3/s],sub7071 [m3/s]
284,2000-10-11,00:00:00.00,0.26537,2.87838,5.34,1.03379,0.774258,0.55118
285,2000-10-12,00:00:00.00,0.108783,2.80953,5.14,1.00931,0.75573,0.537812
286,2000-10-13,00:00:00.00,0.295537,2.7492,4.98,0.987504,0.739236,0.526038
287,2000-10-14,00:00:00.00,0.474367,2.69103,4.76,0.966481,0.72334,0.514695
288,2000-10-15,00:00:00.00,0.177,2.63508,4.65,0.946265,0.708067,0.503786
289,2000-10-16,00:00:00.00,1.38503,2.59031,4.54,0.931805,0.696796,0.496252
290,2000-10-17,00:00:00.00,4.25982,2.70924,4.52,0.976628,0.72975,0.520939
291,2000-10-18,00:00:00.00,0.156739,2.9089,4.53,1.04634,0.78202,0.558504
292,2000-10-19,00:00:00.00,0.212222,2.77274,4.55,0.995883,0.744638,0.531059
293,2000-10-20,00:00:00.00,0.0844135,2.54338,4.5,0.914359,0.683651,0.487123
294,2000-10-21,00:00:00.00,0.0947693,2.48899,4.46,0.894747,0.668875,0.476531
295,2000-10-22,00:00:00.00,0.0742726,2.44061,4.38,0.877255,0.655689,0.467087
