time,date,hour,precip [mm/day],sub7023 [m3/s],sub7024 [m3/s],sub7024 (observed) [m3/s]
290,2000-10-17,00:00:00.00,0.644602,0.110487,2.19233,24.2109
291,2000-10-18,00:00:00.00,2.11486,0.128426,2.60304,23.8711
292,2000-10-19,00:00:00.00,0.0866351,0.128267,2.64478,30.8654
293,2000-10-20,00:00:00.00,0.140146,0.113622,2.41255,26.5046
294,2000-10-21,00:00:00.00,0.106002,0.1055,2.2312,19.9634
295,2000-10-22,00:00:00.00,0.14995,0.100548,2.05006,18.2644
296,2000-10-23,00:00:00.00,0.0537061,0.0973154,1.95325,16.4804
297,2000-10-24,00:00:00.00,0.576512,0.095089,1.89431,20.2465
298,2000-10-25,00:00:00.00,8.10841,0.0980532,1.94022,25.4852
299,2000-10-26,00:00:00.00,1.3897,0.122183,2.36529,25.2869
300,2000-10-27,00:00:00.00,0.324879,0.162484,3.02493,22.1721
301,2000-10-28,00:00:00.00,2.2975,0.160537,2.95605,20.2749
302,2000-10-29,00:00:00.00,0.100864,0.130084,2.45249,16.5087
303,2000-10-30,00:00:00.00,0.410273,0.117949,2.27766,18.236
304,2000-10-31,00:00:00.00,0.29764,0.109476,2.13355,16.9052
305,2000-11-01,00:00:00.00,0.124508,0.101837,1.97875,16.3105
306,2000-11-02,00:00:00.00,0.152951,0.0971665,1.89168,18.9157
307,2000-11-03,00:00:00.00,0.324389,0.0941197,1.83788,29.1664
308,2000-11-04,00:00:00.00,0.747706,0.0920288,1.80211,36.8119
309,2000-11-05,00:00:00.00,0.0307197,0.0905329,1.77727,23.3048
310,2000-11-06,00:00:00.00,0.0617401,0.0894261,1.75948,14.1584
311,2000-11-07,00:00:00.00,0.684242,0.0885742,1.74651,12.4028
312,2000-11-08,00:00:00.00,4.36288,0.0890369,1.77511,16.5937
313,2000-11-09,00:00:00.00,0.608764,0.0947239,1.96474,17.3299
314,2000-11-10,00:00:00.00,20.3714,0.11914,2.5122,24.2959
315,2000-11-11,00:00:00.00,0.499716,0.180802,3.39542,33.697
316,2000-11-12,00:00:00.00,0.0491156,0.209263,3.61353,24.8339
317,2000-11-13,00:00:00.00,0.0682099,0.169021,2.9585,43.0416
318,2000-11-14,00:00:00.00,2.15615,0.132066,2.41597,87.4991
319,2000-11-15,00:00:00.00,0.366692,0.119716,2.23919,78.4377
320,2000-11-16,00:00:00.00,0.0500589,0.118388,2.24882,63.1466
321,2000-11-17,00:00:00.00,0.272942,0.113496,2.17074,68.5268
322,2000-11-18,00:00:00.00,0.523091,0.10471,2.01072,65.4119
323,2000-11-19,00:00:00.00,0.117828,0.0995147,1.92155,48.1386
324,2000-11-20,00:00:00.00,0.153186,0.0962723,1.86737,37.9446
325,2000-11-21,00:00:00.00,0.407853,0.0941551,1.83195,45.5901
326,2000-11-22,00:00:00.00,1.05613,0.0927019,1.80789,36.2456
327,2000-11-23,00:00:00.00,2.21021,0.0916646,1.7907,27.4673
328,2000-11-24,00:00:00.00,2.1995,0.0908985,1.7779,22.0871
329,2000-11-25,00:00:00.00,0.351695,0.0903034,1.76774,22.2854
330,2000-11-26,00:00:00.00,5.5159,0.0919679,1.81692,21.5208
331,2000-11-27,00:00:00.00,2.84442,0.104799,2.15347,22.5402
332,2000-11-28,00:00:00.00,0.483392,0.138675,2.87638,22.88
333,2000-11-29,00:00:00.00,0.114197,0.181426,3.44247,22.6252
334,2000-11-30,00:00:00.00,1.8743,0.208492,3.56223,30.0159
335,2000-12-01,00:00:00.00,0.161715,0.183311,3.13907,30.8654
336,2000-12-02,00:00:00.00,0.379401,0.13754,2.57657,26.0232
337,2000-12-03,00:00:00.00,0.206509,0.117507,2.28646,26.2214
338,2000-12-04,00:00:00.00,0.099952,0.106988,2.06667,27.3541
339,2000-12-05,00:00:00.00,0.0738555,0.100925,1.94886,26.278
340,2000-12-06,00:00:00.00,0.448343,0.0972138,1.88055,31.1485
341,2000-12-07,00:00:00.00,0.380856,0.0948292,1.83844,17.2733
342,2000-12-08,00:00:00.00,5.82312,0.0932345,1.81108,18.8873
343,2000-12-09,00:00:00.00,0.375019,0.0921328,1.79246,21.8606
344,2000-12-10,00:00:00.00,0.0854628,0.0913399,1.77899,20.8695
345,2000-12-11,00:00:00.00,0.239185,0.0907387,1.7686,24.579
346,2000-12-12,00:00:00.00,33.4441,0.0904359,2.08632,34.8297
347,2000-12-13,00:00:00.00,1.80061,0.0910093,3.82161,115.25
348,2000-12-14,00:00:00.00,14.1275,0.0923391,15.2762,158.574
349,2000-12-15,00:00:00.00,2.57285,0.092102,19.5809,194.82
350,2000-12-16,00:00:00.00,0.351762,0.0905836,7.80979,191.139
351,2000-12-17,00:00:00.00,15.9752,0.093918,1.87903,159.141
352,2000-12-18,00:00:00.00,10.7949,0.11702,2.56198,336.97
353,2000-12-19,00:00:00.00,1.34416,0.154925,4.90166,495.545
354,2000-12-20,00:00:00.00,2.33641,0.15305,4.79421,396.436
355,2000-12-21,00:00:00.00,0.409333,0.12316,2.52827,283.168
356,2000-12-22,00:00:00.00,3.05711,0.108883,2.08735,220.871
357,2000-12-23,00:00:00.00,0.164306,0.101031,2.02195,147.248
358,2000-12-24,00:00:00.00,0.268835,0.0963765,1.98501,107.604
359,2000-12-25,00:00:00.00,0.147106,0.0934816,1.96161,84.9505
360,2000-12-26,00:00:00.00,0.321456,0.091609,1.94544,70.7921
361,2000-12-27,00:00:00.00,0.354506,0.0903513,1.9334,59.4654
362,2000-12-28,00:00:00.00,0.0921857,0.089477,1.92403,53.802
363,2000-12-29,00:00:00.00,0.117783,0.0888418,1.91633,48.1386
364,2000-12-30,00:00:00.00,4.85851,0.0883557,1.90961,45.307
365,2000-12-31,00:00:00.00,2.53781,0.0879694,1.90359,42.4753
366,2001-01-01,00:00:00.00,0.129663,0.0876447,1.89797,39.6436
367,2001-01-02,00:00:00.00,0.182542,0.0873542,1.89246,38.2277
368,2001-01-03,00:00:00.00,0.278077,0.0870843,1.887,36.8119
369,2001-01-04,00:00:00.00,0.368155,0.0868262,1.88152,33.9802
370,2001-01-05,00:00:00.00,0.253913,0.0865732,1.876,32.5644
371,2001-01-06,00:00:00.00,1.83672,0.0871231,1.88701,31.1485
372,2001-01-07,00:00:00.00,0.220232,0.0912065,1.96845,29.7327
