time,date,hour,precip [mm/day],sub710 [m3/s],sub710 (observed) [m3/s],sub685 [m3/s],sub685 (observed) [m3/s],sub684 [m3/s],sub684 (observed) [m3/s],sub676 [m3/s],sub676 (observed) [m3/s],sub677 [m3/s],sub677 (observed) [m3/s],sub686 [m3/s],sub686 (observed) [m3/s],sub699 [m3/s],sub699 (observed) [m3/s],sub701 [m3/s],sub701 (observed) [m3/s],sub700 [m3/s],sub700 (observed) [m3/s],sub683 [m3/s],sub683 (observed) [m3/s],sub697 [m3/s],sub697 (observed) [m3/s],sub698 [m3/s],sub698 (observed) [m3/s],sub696 [m3/s],sub696 (observed) [m3/s],sub682 [m3/s],sub682 (observed) [m3/s],sub694 [m3/s],sub694 (observed) [m3/s],sub695 [m3/s],sub695 (observed) [m3/s],sub678 [m3/s],sub678 (observed) [m3/s],sub680 [m3/s],sub680 (observed) [m3/s],sub681 [m3/s],sub681 (observed) [m3/s],sub691 [m3/s],sub691 (observed) [m3/s],sub693 [m3/s],sub693 (observed) [m3/s],sub692 [m3/s],sub692 (observed) [m3/s],sub689 [m3/s],sub689 (observed) [m3/s],sub712 [m3/s],sub712 (observed) [m3/s],sub724 [m3/s],sub724 (observed) [m3/s],sub723 [m3/s],sub723 (observed) [m3/s],sub720 [m3/s],sub720 (observed) [m3/s],sub719 [m3/s],sub719 (observed) [m3/s]
937,2012-07-26,00:00:00.00,0.00551773,4.78959,0.1427,2.70087,1.78,1.55545,0.224,2.3351,0.117,5.13343,2.6,1.63404,0.271,2.49273,0.118,2.64931,0.364,2.94206,0.124,2.08568,0.355,1.5355,0.029,4.80966,0.569,2.76073,0.871,1.45305,0.015,1.60086,0.086,1.71786,0.04,8.67957,0.4502,3.62508,0.1722,3.0438,0.2888,4.35185,1.5093,2.71575,2.625,5.83546,3.398,4.19263,0.32,1.91692,0.1549,7.57737,0.1373,3.46613,0.0663,1.63272,0.5522,14.6279,11.525
938,2012-07-27,00:00:00.00,1.14813,5.59284,0.2305,3.34099,2.46,2.28819,0.743,8.32294,0.159,9.47838,5.16,2.59294,0.55,3.716,0.672,3.51279,0.554,4.72769,0.151,2.61105,0.34,2.1795,0.119,10.0382,0.655,4.17357,1.13,4.39575,0.031,2.83625,0.107,2.60999,0.053,18.7865,0.7759,8.37728,0.3879,5.63035,0.4701,6.25472,4.8988,4.79418,14.2151,11.9726,19.5669,5.05051,1.6084,1.91435,0.1512,6.55608,0.2093,3.16233,0.0592,1.82471,0.9373,14.9459,14.2434
939,2012-07-28,00:00:00.00,0.559862,7.28983,0.4899,4.14087,2.9,2.55848,0.742,10.2406,0.128,12.6388,3.12,3.18807,0.929,4.22767,0.686,4.80454,0.736,5.27573,0.334,3.1332,0.484,2.43835,0.952,14.4397,0.765,4.81295,1.46,4.99495,0.029,3.6637,0.146,3.14782,0.066,27.2191,0.824,11.1907,0.4984,7.91355,1.0194,10.1941,5.4935,7.22042,11.2135,17.4986,15.9424,6.77066,5.3236,2.16338,0.4531,6.02986,0.1948,3.5495,0.0595,3.17433,1.43,20.1854,39.6436
940,2012-07-29,00:00:00.00,0.552282,7.69128,0.2495,3.73638,3.16,1.84043,0.565,4.0388,0.077,8.57044,2.81,2.18691,0.406,2.95244,0.368,4.09315,0.92,3.42836,0.192,2.63918,0.463,3.00199,8.64,13.7514,3.31,4.5659,13.3,4.59882,0.028,3.34367,0.245,2.77981,0.099,17.7064,1.1893,6.52675,0.6598,5.66265,0.9713,10.4238,3.8511,5.42337,11.2418,11.188,17.2733,7.35609,3.4547,2.48926,0.9543,6.50358,0.1877,4.62422,0.0626,6.05443,3.9927,37.3573,54.3683
941,2012-07-30,00:00:00.00,0,6.77764,0.2461,2.92791,2.77,1.55246,0.414,2.74422,0.051,5.13838,2.73,1.55945,0.318,2.44072,0.297,2.71785,0.755,2.8142,0.165,2.08021,0.38,3.1333,4.6,11.8264,2.25,4.36433,8.07,3.95811,0.203,2.95618,0.193,2.48086,0.118,8.94506,1.11,3.66752,0.4814,3.33897,0.7023,7.25113,2.2569,3.13241,4.1626,6.07782,8.0703,7.10375,1.0421,2.21182,0.2611,6.02027,0.132,4.42767,0.0597,5.54484,1.5008,43.9512,24.7772
942,2012-07-31,00:00:00.00,0.0124954,5.68361,0.2461,2.61433,2.42,1.48828,0.315,2.44747,0.038,4.65716,2.75,1.56319,0.293,2.35428,0.229,2.47699,0.691,2.77675,0.144,1.98136,0.293,1.66238,0.557,6.19425,1.59,2.97821,3.47,1.36034,0.361,2.00642,0.136,1.87755,0.106,8.01453,1.1242,3.47223,0.3681,2.93239,0.5578,5.31413,1.9086,2.64072,3.3131,5.61261,5.4085,6.55005,0.6966,1.83227,0.1977,5.42064,0.1164,3.20678,0.0558,2.34313,0.7589,27.6908,17.5564
943,2012-08-01,00:00:00.00,0.0609621,4.70262,0.4474,2.55823,2.19,1.47086,0.307,1.97826,0.025,5.77426,3.8,1.60371,0.282,2.32531,0.208,2.46988,0.655,2.7448,0.137,1.95154,0.268,1.32999,0.222,4.08836,1.24,2.61692,2,1.34375,0.183,1.51611,0.103,1.58737,0.056,8.16386,0.8325,3.47613,0.3058,3.02354,0.4531,4.94143,1.9567,2.8584,4.3891,5.48021,6.1731,5.79078,0.6201,1.85445,0.173,5.35499,0.1073,2.86444,0.0558,1.4738,0.6598,16.2797,14.6398
944,2012-08-02,00:00:00.00,0.000247598,4.37559,0.3313,2.54495,2.09,1.45743,0.254,2.24142,0.019,6.66054,3.67,1.61167,0.522,2.30337,0.177,2.43733,0.614,2.7129,0.126,1.93018,0.265,1.47103,0.138,4.5062,1,2.57728,1.42,1.32733,0.102,1.47921,0.261,1.59123,0.034,8.0905,0.7051,3.50729,0.2506,3.05039,0.4248,4.90154,1.8094,2.98898,3.1715,5.64097,4.559,5.03982,0.538,1.84936,0.1393,5.29641,0.0912,2.9174,0.0583,1.51897,0.6428,14.5633,13.762
945,2012-08-03,00:00:00.00,0,4.37156,0.2246,2.50853,1.91,1.42884,0.237,2.05459,0.017,5.7869,3.21,1.53122,0.356,2.2712,0.25,2.40878,0.497,2.68106,0.118,1.90863,0.266,1.37763,0.106,4.21061,0.868,2.50496,1.04,1.31108,0.069,1.46179,0.247,1.5724,0.025,7.8968,0.4927,3.41237,0.2271,2.87848,0.4191,4.4437,1.6792,2.53537,2.8034,5.38184,3.7661,4.38921,0.4899,1.74926,0.1161,5.2327,0.0776,2.85093,0.0558,1.47853,0.5805,13.7782,13.0824
946,2012-08-04,00:00:00.00,1.32457e-05,4.32692,0.1696,2.46232,1.88,1.41164,0.233,2.10768,0.015,4.81373,3.24,1.49176,0.294,2.2484,0.192,2.3799,0.55,2.64975,0.122,1.88727,0.266,1.40061,0.09,4.3221,0.757,2.50298,0.901,1.29498,0.052,1.44534,0.184,1.55547,0.024,7.79038,0.504,3.30712,0.2129,2.7624,0.3766,4.07572,1.6141,2.37713,2.7864,5.22706,3.6246,4.0314,0.4417,1.69957,0.1017,5.17536,0.064,2.83546,0.0535,1.46916,0.5862,13.244,12.4877
947,2012-08-05,00:00:00.00,0.0359642,4.27457,0.1311,2.42781,1.84,1.39634,0.237,2.04023,0.017,4.55863,2.78,1.47927,0.278,2.22008,0.171,2.35143,0.637,2.61873,0.116,1.86608,0.267,1.3661,0.078,4.15909,0.718,2.45298,0.795,1.27905,0.04,1.42905,0.157,1.53853,0.025,7.68732,0.5918,3.26619,0.1994,2.7914,0.3568,4.24734,1.6452,2.61289,3.3414,5.70359,4.2758,4.01613,0.7419,1.68677,0.5267,5.17589,0.0524,2.80014,0.0498,1.45262,0.5748,13.0644,11.978
948,2012-08-06,00:00:00.00,0.717088,4.87626,0.1164,2.56481,1.96,1.4962,0.251,2.55708,0.031,6.71895,5.3,1.75634,0.374,2.59973,0.168,3.25033,0.696,3.46871,0.126,1.96003,0.257,1.56796,0.08,5.78441,0.717,2.69175,0.753,2.41081,0.037,1.76286,0.187,1.73121,0.023,8.17585,0.5437,3.58321,0.1948,3.13417,0.3568,4.7227,1.9057,3.37623,8.1553,7.16035,12.5727,4.10501,1.0222,1.9245,3.0016,19.8136,0.0699,5.8648,0.0663,2.12271,1.11,15.573,14.385
949,2012-08-07,00:00:00.00,1.90261e-06,5.49871,0.0977,2.71476,1.99,1.51108,0.314,2.7243,0.04,8.10005,2.84,1.91471,0.338,2.61123,0.14,3.60505,0.694,3.43828,0.156,2.00183,0.242,1.59883,0.108,6.55954,0.756,2.75181,0.752,2.3952,0.027,1.9459,0.166,1.8108,0.019,8.47011,0.3625,3.75299,0.186,3.26731,0.3426,4.61887,1.5461,3.41589,3.1432,7.02913,4.4741,3.91468,0.5352,2.01828,0.3653,29.1957,0.06,7.19292,0.0626,2.44324,0.9741,19.7899,16.8202
950,2012-08-08,00:00:00.00,0,5.02363,0.0731,2.57045,1.75,1.37983,0.286,2.07754,0.026,6.07201,2.55,1.57722,0.289,2.15147,0.142,2.61679,0.653,2.52744,0.142,1.86349,0.181,1.3533,0.069,4.76685,0.773,2.46977,0.702,1.23221,0.022,1.58854,0.132,1.57728,0.015,7.93733,0.4276,3.39186,0.1875,2.83072,0.3511,4.10331,1.4583,2.46378,2.6533,5.2929,3.3697,3.70262,0.4276,1.71093,0.2112,13.5765,0.0436,3.63045,0.0549,1.7054,0.7447,19.4256,13.139
951,2012-08-09,00:00:00.00,0.00513146,4.31481,0.1249,2.38006,1.71,1.3399,0.231,1.90986,0.02,4.6149,2.49,1.39197,0.276,2.11609,0.126,2.20367,0.571,2.49759,0.113,1.78071,0.157,1.29898,0.057,3.98241,0.633,2.35916,0.733,1.21692,0.018,1.3741,0.119,1.46518,0.013,7.38391,0.5012,3.15278,0.1795,2.60505,0.3341,3.83864,1.4328,2.2385,2.523,4.87351,3.2281,3.61276,0.3823,1.58865,0.1557,3.46066,0.036,2.33821,0.0498,1.36455,0.6088,15.0875,12.7426
952,2012-08-10,00:00:00.00,0.749104,4.79064,0.1257,2.63143,1.82,1.57457,0.224,2.70668,0.052,4.99077,2.79,1.80129,0.287,2.6042,0.188,3.25608,0.634,3.38135,0.105,2.22684,0.162,1.56343,0.064,5.0808,0.65,2.64721,0.79,1.94541,0.018,1.70746,0.114,1.71289,0.014,10.6125,0.5607,6.06697,0.1764,5.00096,0.3568,6.70744,3.398,5.92945,20.4731,10.2805,21.4925,5.05963,3.6246,1.71465,0.3596,5.10694,0.0334,2.76591,0.0476,1.9355,1.1667,14.2202,14.8097
953,2012-08-11,00:00:00.00,2.8242,8.57179,0.1555,3.5004,2.38,2.65576,0.39,8.84501,0.13,9.74455,4.29,2.36406,0.559,4.59344,0.555,6.43911,1.38,5.86873,0.635,3.93868,0.277,2.76002,6.43,15.5107,0.709,5.00469,1.02,7.3283,0.061,3.89641,1.15,3.34347,0.037,25.4558,0.5522,15.9226,0.2237,14.7753,0.4984,20.5007,8.6366,13.712,26.6745,30.9779,39.0772,10.9364,4.021,2.71624,3.5396,9.99145,0.2888,4.3387,0.0634,4.64441,5.805,25.7161,33.1307
954,2012-08-12,00:00:00.00,0.401626,11.3197,0.892,4.63497,2.98,2.9057,0.686,10.7317,0.199,14.8625,8.68,2.86196,0.87,5.27745,0.647,9.51541,1.31,7.15915,0.808,4.4334,0.594,2.78819,5.92,20.2274,0.999,5.48256,1.28,6.70738,0.059,5.12824,3.68,4.11092,0.147,34.6661,3.0016,18.0688,0.226,17.9494,0.7476,29.4513,20.643,11.1392,29.4495,34.3201,43.3248,15.5313,3.2564,3.04508,2.0785,11.3773,0.233,5.11406,0.062,5.41242,4.4457,38.5203,35.6792
955,2012-08-13,00:00:00.00,0.092222,9.00562,1.7698,4.49537,3.38,1.86821,0.771,4.51995,0.147,11.5442,5.96,2.61126,0.979,3.45308,0.556,7.22522,1.22,4.85927,0.676,3.06506,0.71,1.41343,0.747,10.5808,1.09,3.21324,1.15,2.34253,0.071,3.17182,1.89,2.51871,0.19,22.0526,4.1909,8.36133,0.2376,7.61584,0.9316,18.8568,5.2953,2.97001,13.224,11.4361,22.965,15.3509,1.7925,1.90849,0.4814,6.69708,0.1801,3.1813,0.0609,2.55894,1.498,31.9757,19.482
956,2012-08-14,00:00:00.00,0.0103366,5.67214,1.0421,3.18758,2.99,1.35837,0.59,2.19976,0.101,5.6782,4.39,1.63083,0.427,2.35973,0.451,2.94779,1.04,2.69542,0.324,2.1816,0.538,1.17072,0.255,6.6017,1.11,2.57733,1.19,2.19051,0.101,1.72081,0.831,1.5411,0.505,9.29201,2.3191,3.21796,0.2727,1.79259,0.8155,8.6931,3.5396,2.08304,6.343,2.7327,9.6844,13.3591,1.076,1.44747,0.3511,4.29039,0.145,2.40491,0.0606,1.24767,0.8835,18.4099,15.4893
957,2012-08-15,00:00:00.00,0.966108,4.38526,0.6626,2.87092,3.08,1.47948,0.482,2.67151,0.089,4.95178,4.17,2.11608,0.624,2.61764,4,4.91539,1.34,3.43486,0.846,2.42757,0.455,1.47067,0.18,8.29361,1.02,2.9999,1.78,3.55659,0.107,2.61531,0.974,2.1149,0.41,12.2771,1.3139,7.34295,0.2767,6.33194,0.7164,8.81109,5.2669,6.57438,28.8832,13.9538,46.1565,11.0057,2.9166,1.7714,0.9061,5.52328,0.1563,3.1619,0.0739,1.52486,1.3875,14.5668,19.0006
958,2012-08-16,00:00:00.00,0.0073264,4.31015,0.4814,3.12018,3.11,1.51176,0.429,2.72387,0.071,5.46708,3.91,2.61568,1.15,2.52697,1.88,6.27127,1.24,3.31054,0.856,2.59155,0.573,1.45865,0.224,9.07202,1.05,3.12069,2.13,3.5424,0.088,2.89265,1.39,2.28222,0.199,15.8665,0.9798,9.26857,0.2557,8.66602,0.5975,9.82933,3.5679,7.81198,9.7127,18.4945,25.0887,8.73873,1.5461,1.89867,0.3625,5.82294,0.1271,3.39532,0.0665,1.49039,0.9911,14.1038,16.3955
959,2012-08-17,00:00:00.00,0.00112278,4.03849,0.3625,2.71234,2.74,1.28242,0.369,1.95509,0.066,4.6536,3.69,1.71463,0.457,1.93692,0.656,3.16695,1.18,2.27095,0.524,1.91104,0.506,1.23257,0.148,5.64751,1.22,2.37815,1.43,1.10028,0.111,1.7247,1.2,1.5862,0.102,10.5446,0.9316,4.67493,0.2362,4.27115,0.538,7.00918,2.945,2.79076,5.6917,7.9369,10.2507,6.0512,0.926,1.62422,0.2769,4.70539,0.1014,2.6747,0.0617,1.27639,0.8127,12.3737,13.4788
960,2012-08-18,00:00:00.00,0.0607269,3.93142,0.3087,2.39447,2.55,1.30843,0.353,2.17404,0.057,4.47946,3.52,1.49123,0.413,2.24142,0.458,2.56947,1.07,2.87743,0.383,1.73896,0.464,1.18731,0.108,3.46129,1.01,2.16384,1.35,1.0864,0.137,1.2502,0.695,1.3116,0.058,6.90811,0.6881,2.61664,0.209,2.06296,0.4672,4.46677,2.9166,1.56191,4.8422,3.54259,7.1925,4.78936,0.7561,1.45876,0.3625,4.36648,0.0883,2.35048,0.0606,1.24011,0.7334,11.9431,12.7992
961,2012-08-19,00:00:00.00,0,3.93805,0.2888,2.40677,2.33,1.32881,0.332,2.51235,0.053,4.5435,3.01,1.63144,0.412,2.26947,0.335,3.01348,0.992,2.84955,0.285,1.80923,0.379,1.20506,0.09,3.74724,0.894,2.16057,1.12,1.07268,0.099,1.21618,0.429,1.31666,0.04,6.46604,0.555,2.76689,0.1977,2.32659,0.4219,3.79429,2.945,2.16337,4.5307,4.4967,6.2014,4.05526,0.6428,1.44691,0.2438,4.35117,0.0694,2.39539,0.0547,1.22732,0.6541,11.6588,12.9974
962,2012-08-20,00:00:00.00,0.00242119,3.81733,0.2574,2.24851,2.25,1.21068,0.283,1.77203,0.031,4.15493,2.83,1.3485,0.33,1.86567,0.296,2.25495,0.956,2.1884,0.231,1.64301,0.314,1.15513,0.076,3.43098,0.84,2.07198,0.943,1.0591,0.07,1.20111,0.31,1.30013,0.031,6.49182,0.657,2.76776,0.1877,2.32361,0.3908,3.32206,2.7609,1.9412,4.2475,4.28909,5.6067,3.40094,0.5635,1.40964,0.2308,4.30358,0.0569,2.3416,0.0501,1.21188,0.64,11.0622,12.3178
963,2012-08-21,00:00:00.00,0.0266615,3.67244,0.2027,2.08118,2.11,1.16561,0.239,1.64423,0.028,3.90478,2.76,1.22187,0.307,1.84077,0.271,1.90202,0.931,2.16201,0.2,1.54835,0.291,1.14413,0.07,3.5095,0.765,2.06677,0.883,1.04568,0.051,1.18698,0.239,1.28542,0.025,6.64189,0.5125,2.74968,0.1741,2.29719,0.3596,3.26287,2.5174,1.99672,3.8511,4.34724,5.0404,3.21771,0.5578,1.38931,0.2367,4.47538,0.0513,2.32959,0.0569,1.24975,0.9713,11.0311,12.9125
964,2012-08-22,00:00:00.00,0.0397763,3.61087,0.1447,2.01569,2,1.15349,0.231,1.67952,0.025,3.78186,2.71,1.226,0.297,1.82475,0.252,1.90918,0.888,2.13611,0.186,1.53357,0.285,1.12976,0.068,3.3504,0.727,2.02124,0.826,1.03241,0.041,1.17302,0.191,1.27073,0.019,6.58055,0.3993,2.71161,0.1606,2.27159,0.3398,3.19952,2.3248,2.29139,10.6471,4.3633,11.2418,3.06313,0.5975,1.37482,0.7674,5.15043,0.053,2.32145,0.0716,1.27772,0.9486,11.6379,14.3
965,2012-08-23,00:00:00.00,0.000947896,3.58092,0.1138,1.98671,1.89,1.14026,0.227,1.62841,0.024,3.73276,2.64,1.20918,0.301,1.80143,0.275,1.88694,0.866,2.11027,0.178,1.51548,0.284,1.11725,0.063,3.38217,0.718,2.01414,0.781,1.01929,0.033,1.1592,0.16,1.25619,0.016,6.46693,0.5409,2.67119,0.1467,2.24605,0.3228,3.15808,2.1436,2.50922,6.1731,4.3934,10.4489,3.00019,0.5295,1.35796,0.2563,5.56743,0.0504,2.31666,0.0629,1.21815,0.8693,12.326,13.5638
966,2012-08-24,00:00:00.00,0,3.50774,0.0929,1.96366,1.81,1.1272,0.225,1.62363,0.019,3.68925,2.52,1.19588,0.276,1.77848,0.223,1.86108,0.866,2.08448,0.162,1.49771,0.284,1.10401,0.061,3.28974,0.7,1.97759,0.755,1.00632,0.025,1.14551,0.136,1.24179,0.013,6.19487,0.5295,2.63965,0.1402,2.22075,0.3087,3.10321,1.8916,2.05053,3.7378,4.15895,5.097,2.88513,0.487,1.34001,0.1846,4.77396,0.0362,2.25477,0.0538,1.16283,0.7249,11.8109,12.7143
967,2012-08-25,00:00:00.00,0,3.41905,0.0807,1.94067,1.75,1.11426,0.214,1.59456,0.014,3.64562,2.44,1.18216,0.264,1.75551,0.193,1.83928,0.824,2.05919,0.162,1.48012,0.283,1.09133,0.056,3.28096,0.647,1.96532,0.741,0.993494,0.019,1.13196,0.108,1.22752,0.011,6.10281,0.3794,2.60948,0.1342,2.19568,0.2973,3.05925,1.8038,1.84183,3.1998,4.11843,4.021,2.84867,0.4616,1.32371,0.1945,3.97106,0.0351,2.21394,0.0476,1.1418,0.64,10.6111,11.978
968,2012-08-26,00:00:00.00,0,3.35688,0.0722,1.91871,1.71,1.10144,0.211,1.57878,0.015,3.60348,2.34,1.16866,0.253,1.73618,0.154,1.81586,0.79,2.03417,0.158,1.46271,0.276,1.07856,0.05,3.21717,0.58,1.93396,0.715,0.980815,0.015,1.11855,0.102,1.21339,0.01,6.0311,0.3794,2.57974,0.1172,2.17084,0.2888,3.0343,1.7783,1.86815,3.0299,4.06555,3.5396,2.80935,0.4248,1.3076,0.1555,3.98245,0.0326,2.19158,0.0428,1.12707,0.6003,10.0446,11.4117
969,2012-08-27,00:00:00.00,1.67382e-06,3.3118,0.0665,1.89661,1.64,1.08875,0.212,1.55628,0.018,3.56132,2.25,1.15527,0.255,1.71413,0.117,1.79352,0.781,2.00942,0.151,1.44547,0.267,1.06602,0.05,3.19072,0.565,1.91836,0.648,0.968282,0.013,1.10528,0.099,1.19939,0.009,5.96213,0.4446,2.55028,0.1056,2.14622,0.2636,2.98852,1.75,1.83157,2.9166,4.02342,2.9166,2.77756,0.4134,1.29167,0.154,3.97342,0.0263,2.1654,0.0379,1.11386,0.5805,9.97509,11.1568
970,2012-08-28,00:00:00.00,1.06241,7.36863,0.1557,1.93686,1.7,1.23835,0.232,2.94935,0.025,4.31903,2.54,1.29677,0.28,1.77531,0.109,1.94735,0.803,2.20708,0.157,1.58828,0.248,1.43763,0.072,3.75019,0.562,2.13807,0.614,1.37551,0.011,1.21672,0.096,1.27137,0.008,11.9461,0.5465,5.07701,0.1373,3.31051,0.2574,4.08763,2.0388,3.07753,3.8228,5.38343,4.0776,3.50121,0.5748,3.63422,6.258,6.04736,0.0331,4.44223,0.0496,3.77614,5.1537,20.3597,32.2812
971,2012-08-29,00:00:00.00,0.0312811,11.2191,0.4417,2.0051,1.76,1.28085,0.23,3.37852,0.021,5.10331,2.55,1.35393,0.325,1.76402,0.1,2.00118,0.966,2.18287,0.159,1.67563,0.235,1.53265,0.181,4.04115,0.556,2.21072,0.618,1.36327,0.011,1.27856,0.084,1.29971,0.008,17.407,0.6031,6.38656,0.1606,4.26284,0.2772,5.25814,2.0077,3.76339,3.5396,6.31211,4.4174,3.99811,0.5182,4.47101,1.5461,7.24359,0.0371,5.61421,0.0569,4.69628,3.0016,32.9087,35.1129
972,2012-08-30,00:00:00.00,0,8.38536,0.4531,1.95944,1.7,1.10429,0.225,1.7087,0.025,4.54856,2.36,1.17481,0.288,1.65571,0.093,1.79773,0.908,1.93679,0.153,1.49447,0.24,1.08318,0.099,3.33506,0.592,1.91517,0.578,0.931545,0.009,1.14429,0.07,1.19702,0.008,11.672,0.4106,3.77231,0.1359,3.05198,0.3455,4.56965,1.8378,2.25465,2.9733,4.74032,3.4263,3.67312,0.4587,1.77715,0.6654,4.96799,0.0303,2.98265,0.0498,1.94156,1.3422,27.1815,18.8873
973,2012-08-31,00:00:00.00,0,4.44057,0.5097,1.85153,1.68,1.03722,0.222,1.36707,0.019,3.70503,2.32,1.09346,0.265,1.63274,0.087,1.69895,0.798,1.91311,0.134,1.37389,0.246,0.990151,0.063,3.02937,0.575,1.83365,0.541,0.919582,0.008,1.05685,0.086,1.14174,0.008,5.87309,0.4078,2.40169,0.1427,2.05392,0.3398,3.57087,1.7075,1.61355,2.8232,3.81128,2.945,3.60994,0.4191,0.989475,0.572,3.62321,0.0252,1.79455,0.0481,1.02391,0.7504,16.6891,14.3566
974,2012-09-01,00:00:00.00,3.8938e-06,3.07985,0.371,1.79362,1.61,1.02719,0.199,1.51968,0.024,3.37502,2.29,1.09175,0.248,1.61589,0.089,1.68396,0.778,1.88969,0.14,1.36208,0.227,1.01833,0.052,3.01134,0.554,1.8121,0.56,0.907759,0.007,1.04105,0.085,1.13166,0.008,5.37724,0.3936,2.40285,0.1393,2.02847,0.32,3.09353,1.5206,1.77424,2.6278,3.83992,2.9166,3.30254,0.4049,1.2746,0.4134,3.6913,0.0215,2.0747,0.0447,1.06752,0.6116,12.1032,12.6859
975,2012-09-02,00:00:00.00,0.0535064,3.05571,0.2384,1.77026,1.59,1.01515,0.213,1.40967,0.036,3.31848,2.25,1.07733,0.252,1.59409,0.097,1.66369,0.78,1.86653,0.143,1.34569,0.201,0.986625,0.048,2.94043,0.531,1.78199,0.549,0.896075,0.006,1.02844,0.086,1.11822,0.007,5.65221,0.521,2.3788,0.1303,2.00308,0.303,2.82654,1.4102,1.68823,2.3984,3.73101,2.86,2.93929,0.3823,1.18477,0.3681,4.22369,0.0221,2.41475,0.0447,1.25037,0.5522,10.5379,13.4222
976,2012-09-03,00:00:00.00,0.243697,3.05044,0.1744,1.74888,1.59,1.00331,0.222,1.43972,0.041,3.2819,2.13,1.06511,0.251,1.57701,0.092,1.64202,0.677,1.84363,0.132,1.32967,0.177,0.984782,0.044,2.91989,0.514,1.76656,0.518,0.884529,0.006,1.01641,0.072,1.10573,0.007,5.56998,0.5578,2.35202,0.1206,1.98504,0.286,2.79459,1.3451,1.69751,2.2795,3.7272,2.4211,2.76473,0.3568,1.35786,1.0647,10.5742,0.0544,5.74009,0.0759,1.93861,5.182,12.5744,51.8198
977,2012-09-04,00:00:00.00,0.034949,3.02679,0.1308,1.72825,1.54,0.991584,0.219,1.39559,0.068,3.23881,2.21,1.05268,0.239,1.55618,0.081,1.6218,0.683,1.82099,0.141,1.31381,0.164,0.968606,0.04,2.8729,0.493,1.74109,0.478,0.873119,0.005,1.0042,0.085,1.09282,,5.42572,0.4701,2.32513,0.122,1.96357,0.2721,2.73389,1.2573,1.66119,2.2229,3.67064,2.4749,2.60107,0.3653,1.41726,0.3823,14.1402,2.8204,6.68594,0.1577,2.13353,3.398,16.7167,33.4139
978,2012-09-05,00:00:00.00,1.34036,5.16066,0.1623,2.36891,1.64,1.35048,0.372,3.78767,0.308,8.73864,6.58,1.90737,0.247,2.80779,0.393,3.17911,0.95,3.47995,1.47,2.17366,0.228,1.22261,0.072,10.0985,0.766,2.98155,0.52,2.77006,0.014,1.51636,1.02,1.52285,0.016,7.18182,0.3794,4.09913,0.1237,3.47467,0.2829,5.70728,3.3414,8.654,26.4763,9.61653,27.9204,5.55398,0.9996,1.24175,0.3483,8.57269,8.2685,3.9822,0.1764,3.2505,8.2685,23.2886,56.9169
979,2012-09-06,00:00:00.00,0.172052,7.61162,0.3087,2.97906,1.95,1.45098,0.927,4.4379,0.316,13.8579,4.34,2.32443,0.998,2.89832,0.13,3.90988,0.933,3.45782,1.31,2.60703,0.698,1.28991,0.208,15.142,1.05,3.43646,1.17,2.78516,0.019,1.92977,2.64,1.7914,0.087,8.76448,0.4021,5.58608,0.1484,4.75639,0.2832,8.72395,3.3697,11.0178,15.7442,12.8906,26.2497,7.38962,0.926,1.21857,0.3596,5.70742,2.8204,3.68456,0.196,3.86184,4.644,28.1203,37.0951
980,2012-09-07,00:00:00.00,0.0184279,6.94575,0.2404,2.4451,2.16,1.06498,0.696,1.66837,0.218,8.88152,2.8,1.37642,0.372,1.51573,0.114,2.27066,0.893,1.75458,0.463,1.69659,0.322,0.976551,0.112,7.39772,1.2,2.11753,1.31,0.865944,0.012,1.41716,1.28,1.31732,0.074,7.81059,0.5607,3.93475,0.1424,3.29744,0.4219,6.73656,2.1521,3.2441,5.097,6.27821,7.2491,5.41864,0.606,1.25497,0.32,5.01565,5.8333,2.86776,0.1634,2.3614,2.0048,22.7939,26.2214
981,2012-09-08,00:00:00.00,0.063593,4.84809,0.1393,1.8352,2.58,0.941903,0.449,1.16775,0.146,3.53369,2.61,0.946462,0.283,1.47059,0.11,1.48088,0.937,1.73293,0.295,1.23347,0.238,0.904717,0.077,2.32239,0.78,1.71678,1.36,0.82882,0.01,0.981106,0.477,1.02508,0.056,6.5512,0.7362,2.42969,0.1407,2.00938,0.3993,4.22998,1.9992,1.14861,3.8511,3.15281,5.2103,4.79214,0.4899,1.16437,0.2523,4.05531,3.0299,2.07533,0.111,1.45521,1.7585,14.6899,20.7562
982,2012-09-09,00:00:00.00,2.91021,9.00808,0.841,2.8609,3.13,1.96429,0.616,7.99681,0.173,9.2823,6.6,3.00859,2.11,4.04066,0.637,7.10371,1.87,6.1801,1.77,2.85607,0.448,1.56847,0.15,12.0934,0.862,3.44761,1.2,5.92892,0.029,2.55345,0.59,2.0683,0.077,20.6946,0.7787,7.65537,0.1906,5.41664,0.4332,6.91612,3.2848,4.983,9.9109,10.0539,13.2523,6.04166,1.5631,1.59107,1.3705,17.4745,1.5857,9.19009,0.504,5.89016,13.677,32.3538,105.905
