time,date,hour,precip [mm/day],02GG006 [m3/s],02GG006 (observed) [m3/s]
400,2011-02-05,00:00:00.00,3.27537e-308,1.1284,0.667
401,2011-02-06,00:00:00.00,4.54127,1.08813,0.827
402,2011-02-07,00:00:00.00,1.54621,1.05027,0.831
403,2011-02-08,00:00:00.00,1.73499,1.01462,0.739
404,2011-02-09,00:00:00.00,3.70276,0.98101,0.569
405,2011-02-10,00:00:00.00,0.00299917,0.949269,0.649
406,2011-02-11,00:00:00.00,0.00478871,0.919254,0.945
407,2011-02-12,00:00:00.00,0.0481314,0.890834,1.11
408,2011-02-13,00:00:00.00,0.536492,0.863891,1.2
409,2011-02-14,00:00:00.00,4.00873,0.8455,0.968
410,2011-02-15,00:00:00.00,0.120447,0.828091,0.763
411,2011-02-16,00:00:00.00,2.373e-308,0.804412,0.728
412,2011-02-17,00:00:00.00,0.160981,0.781871,0.892
413,2011-02-18,00:00:00.00,0.180063,0.76039,1.64
414,2011-02-19,00:00:00.00,0.0442863,5.3632,17.1
415,2011-02-20,00:00:00.00,0.000119001,9.09909,66
416,2011-02-21,00:00:00.00,0.93067,6.30701,55.7
417,2011-02-22,00:00:00.00,20.4525,4.18993,22.7
418,2011-02-23,00:00:00.00,0.00739913,3.81564,11.1
419,2011-02-24,00:00:00.00,0.0193615,3.49624,6.63
420,2011-02-25,00:00:00.00,4.24044,3.22087,3.91
421,2011-02-26,00:00:00.00,3.53049,2.9813,2.76
422,2011-02-27,00:00:00.00,3.9692,2.77122,2.01
423,2011-02-28,00:00:00.00,2.5214,2.58569,1.55
424,2011-03-01,00:00:00.00,12.1093,2.66893,4.67
425,2011-03-02,00:00:00.00,3.27159e-308,2.74332,12.5
426,2011-03-03,00:00:00.00,0.00348509,2.56206,11.1
427,2011-03-04,00:00:00.00,0.0569461,2.4007,5.69
428,2011-03-05,00:00:00.00,1.18052,2.25625,3.44
429,2011-03-06,00:00:00.00,23.3747,9.64325,17.7
430,2011-03-07,00:00:00.00,3.99094,15.3164,59.9
431,2011-03-08,00:00:00.00,0.000786904,11.1853,38.4
