time,date,hour,precip [mm/day],02GC010 [m3/s],02GC010 (observed) [m3/s]
325,2010-11-22,00:00:00.00,0.794019,5.83745,1.67
326,2010-11-23,00:00:00.00,18.7291,6.87949,2.07
327,2010-11-24,00:00:00.00,12.1232,9.23359,5.65
328,2010-11-25,00:00:00.00,0.00848129,9.58391,6.64
329,2010-11-26,00:00:00.00,2.8948,8.15668,5
330,2010-11-27,00:00:00.00,14.0515,7.93268,6.07
331,2010-11-28,00:00:00.00,0.371075,8.16666,6.24
332,2010-11-29,00:00:00.00,0.0677788,7.81296,4.49
333,2010-11-30,00:00:00.00,0.577857,7.42125,3.2
334,2010-12-01,00:00:00.00,19.1495,8.5758,4.37
335,2010-12-02,00:00:00.00,11.9506,11.6845,11.4
336,2010-12-03,00:00:00.00,0.193198,12.6171,10.6
337,2010-12-04,00:00:00.00,0.357385,10.7324,7.03
338,2010-12-05,00:00:00.00,0.239366,9.56732,4.7
339,2010-12-06,00:00:00.00,0.398742,9.2011,3.69
340,2010-12-07,00:00:00.00,13.5982,8.88668,3.21
341,2010-12-08,00:00:00.00,3.72924,8.60074,2.7
342,2010-12-09,00:00:00.00,6.40716,8.31367,2.48
343,2010-12-10,00:00:00.00,2.82028,8.04306,2.3
344,2010-12-11,00:00:00.00,0.83685,7.79118,2.2
345,2010-12-12,00:00:00.00,0.649697,7.55612,2.28
346,2010-12-13,00:00:00.00,14.5494,7.83294,2.74
347,2010-12-14,00:00:00.00,3.04963,8.31612,3.83
348,2010-12-15,00:00:00.00,0.424039,7.98499,4.1
349,2010-12-16,00:00:00.00,2.85962,7.45103,3.4
350,2010-12-17,00:00:00.00,0.486333,7.23784,2.9
351,2010-12-18,00:00:00.00,0.245565,7.03773,2.48
352,2010-12-19,00:00:00.00,0.0722507,6.84949,2.25
353,2010-12-20,00:00:00.00,0.820281,6.67209,2.11
354,2010-12-21,00:00:00.00,1.34244,6.50457,1.99
355,2010-12-22,00:00:00.00,0.0813083,6.34611,1.9
356,2010-12-23,00:00:00.00,0.0325434,6.19597,1.82
357,2010-12-24,00:00:00.00,0.00469547,6.05349,1.76
358,2010-12-25,00:00:00.00,0.00992028,5.91807,1.71
359,2010-12-26,00:00:00.00,0.000430139,5.78918,1.68
360,2010-12-27,00:00:00.00,0.00955145,5.66634,1.62
361,2010-12-28,00:00:00.00,0.00301734,5.54912,1.58
362,2010-12-29,00:00:00.00,0.0712504,5.43711,1.56
363,2010-12-30,00:00:00.00,0.0406545,5.32996,1.54
364,2010-12-31,00:00:00.00,0.700129,5.22735,1.52
365,2011-01-01,00:00:00.00,3.00093,5.18949,1.78
366,2011-01-02,00:00:00.00,11.2328,5.8802,13.9
367,2011-01-03,00:00:00.00,0.42805,6.60565,30.6
368,2011-01-04,00:00:00.00,0.31847,6.13835,15.6
369,2011-01-05,00:00:00.00,7.15254,5.60447,8.74
370,2011-01-06,00:00:00.00,1.21932,5.5347,5.38
371,2011-01-07,00:00:00.00,2.0422,5.42906,3.49
372,2011-01-08,00:00:00.00,1.52728,5.32073,3.34
373,2011-01-09,00:00:00.00,1.07416,5.21705,3.07
374,2011-01-10,00:00:00.00,0.180659,5.11772,2.82
375,2011-01-11,00:00:00.00,0.477248,5.02245,2.59
376,2011-01-12,00:00:00.00,2.02033,4.93098,2.37
377,2011-01-13,00:00:00.00,7.26367,4.84309,2.18
378,2011-01-14,00:00:00.00,0.618296,4.75854,2
379,2011-01-15,00:00:00.00,0.690813,4.67715,1.84
380,2011-01-16,00:00:00.00,6.78737,4.59873,1.69
381,2011-01-17,00:00:00.00,1.08424,4.52311,1.55
382,2011-01-18,00:00:00.00,0.0263466,4.45013,1.43
383,2011-01-19,00:00:00.00,2.5828,4.38973,1.74
384,2011-01-20,00:00:00.00,0.540138,4.33324,1.78
385,2011-01-21,00:00:00.00,0.825129,4.26851,1.73
386,2011-01-22,00:00:00.00,2.93306,4.20398,1.67
387,2011-01-23,00:00:00.00,1.49219,4.1415,1.62
388,2011-01-24,00:00:00.00,1.54939,4.08098,1.56
389,2011-01-25,00:00:00.00,1.21711,4.02232,1.5
390,2011-01-26,00:00:00.00,2.26335,3.96542,1.45
391,2011-01-27,00:00:00.00,0.0374842,3.91021,1.4
