time,date,hour,precip [mm/day],raven-weighted [m3/s],raven-weighted (observed) [m3/s]
318,2010-11-15,00:00:00.00,4.67459,0.51651,0.091
319,2010-11-16,00:00:00.00,0.000583639,0.771185,0.071
320,2010-11-17,00:00:00.00,10.6618,1.53611,0.064
321,2010-11-18,00:00:00.00,10.6658,3.2016,1.32
322,2010-11-19,00:00:00.00,0.0463024,3.29037,2.04
323,2010-11-20,00:00:00.00,0.00452214,2.18771,1.14
324,2010-11-21,00:00:00.00,9.3415e-308,1.38889,0.441
325,2010-11-22,00:00:00.00,0.443904,0.918416,0.17
326,2010-11-23,00:00:00.00,14.1373,2.55784,0.093
327,2010-11-24,00:00:00.00,3.11695,4.07628,1.18
328,2010-11-25,00:00:00.00,0.149998,3.1533,3.56
329,2010-11-26,00:00:00.00,18.9098,6.88043,2.41
330,2010-11-27,00:00:00.00,0.535165,8.69032,4.75
331,2010-11-28,00:00:00.00,0.00807415,4.8809,7.18
332,2010-11-29,00:00:00.00,9.56434e-308,2.98723,3.38
333,2010-11-30,00:00:00.00,7.18611e-308,1.88878,0.718
334,2010-12-01,00:00:00.00,21.0184,10.5837,1.35
335,2010-12-02,00:00:00.00,1.14747,15.6376,7.69
336,2010-12-03,00:00:00.00,0.0561764,9.03623,10.3
337,2010-12-04,00:00:00.00,0.0103302,5.01339,5.77
338,2010-12-05,00:00:00.00,2.14368,2.64316,1.9
339,2010-12-06,00:00:00.00,0.630817,1.41243,1.25
340,2010-12-07,00:00:00.00,0.129084,0.839307,0.7
341,2010-12-08,00:00:00.00,0.0465121,0.503838,0.6
342,2010-12-09,00:00:00.00,0.437178,0.301021,0.471
343,2010-12-10,00:00:00.00,0.0310847,0.180494,0.342
344,2010-12-11,00:00:00.00,1.05788,0.152613,0.281
345,2010-12-12,00:00:00.00,0.114539,0.263758,0.232
346,2010-12-13,00:00:00.00,23.9245,7.65257,0.242
347,2010-12-14,00:00:00.00,16.0071,13.8146,0.268
348,2010-12-15,00:00:00.00,7.48817,10.1137,0.219
349,2010-12-16,00:00:00.00,0.0339563,5.9374,0.202
350,2010-12-17,00:00:00.00,0.00166057,3.34558,0.183
351,2010-12-18,00:00:00.00,0.0708144,1.78673,0.168
352,2010-12-19,00:00:00.00,0.111417,0.912598,0.157
353,2010-12-20,00:00:00.00,0.291893,0.487845,0.14
354,2010-12-21,00:00:00.00,0.0554399,0.287085,0.148
355,2010-12-22,00:00:00.00,0.00642423,0.169019,0.152
356,2010-12-23,00:00:00.00,0.373146,0.101126,0.157
357,2010-12-24,00:00:00.00,0.301043,0.061608,0.16
358,2010-12-25,00:00:00.00,0.186083,0.0385244,0.155
359,2010-12-26,00:00:00.00,0.0111919,0.0250346,0.15
360,2010-12-27,00:00:00.00,0.177307,0.0171796,0.147
361,2010-12-28,00:00:00.00,0.522313,0.0125823,0.145
362,2010-12-29,00:00:00.00,0.051011,0.00985688,0.142
363,2010-12-30,00:00:00.00,0.000606619,0.0082311,0.158
364,2010-12-31,00:00:00.00,0.530832,0.00726159,0.176
365,2011-01-01,00:00:00.00,2.03916,1.54169,0.6
366,2011-01-02,00:00:00.00,13.114,18.4251,20.5
367,2011-01-03,00:00:00.00,0.0505484,30.9502,43.4
368,2011-01-04,00:00:00.00,0.425099,23.0189,33.3
369,2011-01-05,00:00:00.00,1.65703,14.2245,19.2
370,2011-01-06,00:00:00.00,0.435264,8.06311,6.18
371,2011-01-07,00:00:00.00,2.72423,4.23387,3.2
372,2011-01-08,00:00:00.00,1.25688,2.10501,1.92
373,2011-01-09,00:00:00.00,3.40843,1.01296,1.09
374,2011-01-10,00:00:00.00,0.672728,0.545891,0.685
375,2011-01-11,00:00:00.00,0.00725119,0.316015,0.483
376,2011-01-12,00:00:00.00,11.3006,0.188171,0.368
377,2011-01-13,00:00:00.00,4.87953,0.112934,0.294
378,2011-01-14,00:00:00.00,1.34007,0.0687793,0.259
379,2011-01-15,00:00:00.00,0.651583,0.0428271,0.249
380,2011-01-16,00:00:00.00,3.26462,0.0276741,0.246
381,2011-01-17,00:00:00.00,0.00942975,0.0187578,0.246
382,2011-01-18,00:00:00.00,0.015685,0.0135107,0.254
383,2011-01-19,00:00:00.00,6.50539,0.237115,0.336
384,2011-01-20,00:00:00.00,0.198143,1.5944,0.419
385,2011-01-21,00:00:00.00,1.25588,2.05526,0.529
386,2011-01-22,00:00:00.00,0.482718,1.11657,0.729
387,2011-01-23,00:00:00.00,2.34321,0.681999,0.784
388,2011-01-24,00:00:00.00,4.6546,0.413853,0.67
389,2011-01-25,00:00:00.00,1.70277,0.25085,0.578
390,2011-01-26,00:00:00.00,0.214736,0.151976,0.496
391,2011-01-27,00:00:00.00,0.111018,0.0918856,0.434
392,2011-01-28,00:00:00.00,2.46215,0.055838,0.381
393,2011-01-29,00:00:00.00,2.07787,0.0350458,0.339
394,2011-01-30,00:00:00.00,7.92436,0.022987,0.304
395,2011-01-31,00:00:00.00,0.0716669,0.0159309,0.275
396,2011-02-01,00:00:00.00,0.121658,0.0117977,0.251
397,2011-02-02,00:00:00.00,2.36194,0.00937932,0.228
398,2011-02-03,00:00:00.00,15.1933,0.00794961,0.206
399,2011-02-04,00:00:00.00,0.00913337,0.00707568,0.193
400,2011-02-05,00:00:00.00,0.000151438,0.00654553,0.195
